0 77
0 80
0 81
0 82
1 57
1 63
1 59
1 64
1 65
1 30
1 5
1 6
1 36
1 73
2 84
3 52
3 80
3 79
4 77
4 23
4 78
4 82
4 70
4 60
4 37
5 56
5 57
5 64
5 74
6 56
6 63
6 64
7 69
7 36
8 29
9 26
9 27
10 52
11 52
12 72
12 24
12 15
13 66
13 86
13 23
13 68
14 59
14 38
15 59
15 18
15 19
16 59
17 59
17 38
18 28
18 86
19 28
19 29
19 86
19 31
19 72
20 46
20 52
20 37
20 21
21 33
21 58
21 37
22 33
22 85
22 70
22 23
22 34
23 67
23 32
23 33
23 85
23 34
24 44
25 26
25 76
26 62
26 45
26 50
27 50
29 38
30 71
30 75
30 83
31 38
33 66
33 34
34 62
34 36
35 61
36 66
36 40
36 71
36 75
38 86
38 72
39 59
39 40
39 53
39 54
40 53
40 54
41 62
41 50
42 62
43 62
45 46
45 76
46 48
47 69
47 49
48 76
48 50
49 53
49 54
50 62
51 69
51 55
55 69
56 73
56 65
56 63
57 71
57 75
57 73
58 60
58 82
59 61
59 71
59 83
59 72
59 75
60 82
61 86
61 73
62 65
63 71
64 65
64 71
66 67
66 86
66 68
67 86
67 68
68 86
70 85
73 74
73 75
77 81
77 79
78 86
78 81
79 81
79 82
81 82
84 85
